#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-05-10T19:03:50 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-05-10T19:03:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.add=_1&-c.r=  2&-c.geom=r&-source=I/352/gedr3dis&-order=I&-out.orig=standard&-out=Source&-out=RA_ICRS&-out=DE_ICRS&-out=rgeo&-out=b_rgeo&-out=B_rgeo&-out=rpgeo&-out=b_rpgeo&-out=B_rpgeo&-out=Flag&-out.max=unlimited&-c.eq=J2000&-c.u=arcmin&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	header_format=mini	
#INFO	header_format=mini	

#RESOURCE=yCat_1352
#Name: I/352
#Title: Distances to 1.47 billion stars in Gaia EDR3 (Bailer-Jones+, 2021)
#INFO	ivoid=ivo://cds.vizier/i/352	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/352	    IVOID of underlying data collection
#INFO	creator=Bailer-Jones C.A.L.	    First author or institution
#INFO	cites=bibcode:2021AJ....161..147B	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/352	    Dataset landing page
#INFO	publication_date=2024-01-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	I_352_gedr3dis:
#Name: I/352/gedr3dis
#Title: Estimating distances from parallaxes (1467744818 sources)
#Column	_1	(A40)	The original question (from your input file)	[ucd=meta.id]
#Column	Source	(I19)	Source identifier, identical to the Gaia-EDR3 source_id (id)	[ucd=meta.id;meta.main]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2016.0 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2016.0 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	rgeo	(F15.8)	? Median of the geometric distance posterior (r_med_geo)	[ucd=pos.distance;stat.mean]
#Column	b_rgeo	(F14.8)	? 16th percentile of the geometric distance posterior (r_lo_geo)	[ucd=pos.distance;stat.min]
#Column	B_rgeo	(F14.8)	? 84th percentile of the geometric distance posterior (r_hi_geo)	[ucd=pos.distance;stat.max]
#Column	rpgeo	(F15.8)	? Median of the photogeometric distance posterior (r_med_photogeo)	[ucd=pos.distance;stat.mean]
#Column	b_rpgeo	(F14.8)	? 16th percentile of the photogeometric distance posterior (r_lo_photogeo)	[ucd=pos.distance;stat.min]
#Column	B_rpgeo	(F14.8)	? 84th percentile of the photogeometric distance posterior (r_hi_photogeo)	[ucd=pos.distance;stat.max]
#Column	Flag	(I5)	Flag (flag) (1)	[ucd=meta.code]
_1	Source	RA_ICRS	DE_ICRS	rgeo	b_rgeo	B_rgeo	rpgeo	b_rpgeo	B_rpgeo	Flag
HD 38944                                	3456177191165379840	087.73928085947	+37.27988724873	  1463.07141000	 1352.04675000	 1603.38977000	  1461.01050000	 1333.20117000	 1630.76660000	10033
HD 38944                                	3456177195458401920	087.74536687556	+37.27456972705	  1813.45117000	  935.39398200	 2917.82056000	  2606.96729000	 2260.92505000	 2972.11133000	10033
HD 38944                                	3456177225525118720	087.76325885195	+37.27550133466	  2851.21851000	 2304.77490000	 3579.04810000	  2501.55322000	 2121.13062000	 3127.29858000	10033
HD 38944                                	3456177229817184128	087.75791944176	+37.28009492352	  2825.30908000	 1760.66406000	 3934.67822000	  2699.52490000	 2237.30884000	 3468.94434000	10033
HD 38944                                	3456177229817185664	087.75770898342	+37.27596106116	  3716.13281000	 2147.53174000	 5672.28809000	  3286.96997000	 2708.09082000	 4928.19189000	10033
HD 38944                                	3456177264177869056	087.76299712012	+37.29005091047	  3314.41626000	 1720.07654000	 5959.59229000	  3980.50415000	 3439.74243000	 4923.70947000	10033
HD 38944                                	3456177298536657024	087.75396819218	+37.28707773786	  3831.70605000	 1665.51172000	 7710.76318000	  2394.51562000	 2020.72168000	 2809.40845000	10033
HD 38944                                	3456177298536659200	087.74520596214	+37.29199450413	  2941.79175000	 1715.65259000	 4633.42920000	  2269.07275000	 1900.87012000	 5331.89746000	10033
HD 38944                                	3456177298536661504	087.75389915364	+37.28140220428	  5048.78711000	 3218.83594000	 7809.59863000	  5131.77344000	 3902.12280000	 7847.92578000	10033
HD 38944                                	3456177298536663296	087.75032892584	+37.28064770010	  4061.33569000	 2452.07495000	 5675.53613000	  4760.07617000	 3876.35718000	 6254.17969000	10033
HD 38944                                	3456177298537609600	087.74624188113	+37.29393740773	  3323.25977000	 2009.54590000	 6863.99365000	  2528.30737000	 2024.14209000	 3392.50024000	10033
HD 38944                                	3456177298537612288	087.75143760493	+37.28470947677	  3296.80884000	 1552.33643000	 5642.04248000	  3910.57251000	 3430.29102000	 5066.35254000	20033
HD 38944                                	3456177332896378496	087.76035890286	+37.30536699976	   173.39679000	  167.76121500	  179.21905500	   170.17955000	  164.96862800	  176.41423000	10033
HD 38944                                	3456177332897347200	087.75533899805	+37.29143572538	  4151.14062000	 2293.52710000	 7482.88721000	  4772.98584000	 3887.34790000	 6163.09082000	10033
HD 38944                                	3456177947079624192	087.73267027982	+37.28915595475	  3815.69482000	 2765.14136000	 5247.40332000	  3171.63647000	 2282.94580000	 4120.23535000	10033
HD 38944                                	3456177951371696128	087.72773377625	+37.28915950396	  4604.09668000	 3317.93262000	 6945.67285000	  3492.08521000	 2563.09424000	 5767.06152000	10033
HD 38944                                	3456178020090613248	087.72217539828	+37.29463196367	  4262.96680000	 2863.19336000	 6021.66748000	  3053.00098000	 2394.68701000	 5318.64062000	10033
HD 38944                                	3456178054450897152	087.74290772243	+37.30219317919	  3773.60254000	 2254.66064000	 6909.06689000	  3820.89600000	 2483.14795000	 9008.11523000	10133
HD 38944                                	3456178054450900480	087.74505584313	+37.29487266494	  4461.55322000	 2792.45825000	 6882.41162000	  3097.52905000	 2429.96118000	 4469.59229000	10033
HD 38944                                	3456178054450900864	087.74346903315	+37.29582454235	  2922.22852000	 1708.86633000	 4819.25342000	  3454.65747000	 2869.41675000	 4203.04932000	10033
HD 38944                                	3456178054450904448	087.73184854769	+37.30188236851	  4469.00684000	 2955.30396000	 7075.25098000	  3798.80908000	 1802.21912000	 7621.65625000	10133
HD 38944                                	3456178054453564032	087.73923223523	+37.29691536724	  1963.29602000	 1897.75269000	 2037.39868000	  1926.13818000	 1854.22668000	 2005.09705000	10033
HD 38944                                	3456178088811588608	087.74202765486	+37.30421472577	  2694.00317000	 1511.41211000	 4415.61621000	  6402.71826000	 5498.01123000	 7917.66748000	10033
HD 38944                                	3456178088813291008	087.75054446061	+37.31492923845	  6990.95947000	 5743.55176000	 8613.71777000	  6917.73145000	 5763.25195000	 8427.28223000	10033
HD 38944                                	3456178118878315904	087.72465873333	+37.29923489634	  5739.53223000	 4189.72119000	10388.20700000	  4011.38159000	 3454.38843000	 5039.32812000	10033
HD 38944                                	3456178118878322816	087.72618305795	+37.31666768684	  2080.13354000	 1727.37976000	 2753.35254000	  2049.67310000	 1725.03210000	 2588.87793000	10033
HD 38944                                	3456178118878322944	087.72858008919	+37.30237467032	  1398.41113000	 1218.49744000	 1631.33813000	  1435.68127000	 1268.22607000	 1654.32800000	10033
HD 38944                                	3456178123169822208	087.72966535688	+37.30672773587	  3871.86304000	 2221.20093000	 5577.96826000	  3961.61279000	 3305.13135000	 5001.19189000	10033
HD 38944                                	3456178123169823872	087.72772138572	+37.30386703040	  5145.04150000	 2823.91431000	 8170.38867000	  3105.96851000	 2521.16821000	 4097.98682000	10033
HD 38944                                	3456178123169824768	087.72170715348	+37.30422855495	  3644.30347000	 2391.62524000	 5689.40479000	               	              	              	10099
HD 38944                                	3456178123169824896	087.72228206407	+37.30415119484	  1092.54797000	 1030.74060000	 1159.03003000	  1075.97083000	 1023.17126000	 1140.50159000	10033
HD 38944                                	3456178123171331200	087.71988263118	+37.30631300632	  3535.07886000	 2106.58105000	 5242.18213000	  5886.64258000	 4981.42334000	 7646.42432000	20033
HD 38944                                	3456178153238061440	087.73069918743	+37.31960767988	   881.86084000	  798.54083300	  983.92694100	   817.72283900	  744.18890400	  926.30041500	10033
HD 38944                                	3456178153238061568	087.73232060114	+37.31776147514	  1696.96863000	 1634.23010000	 1768.50598000	  1680.21277000	 1625.43005000	 1739.13257000	10033
HD 38944                                	3456178153238061696	087.73827943696	+37.32870759323	  2470.01880000	 1704.36108000	 5091.61670000	  2374.23389000	 1994.71350000	 3045.42310000	10033
HD 38944                                	3456178157529550592	087.73967902962	+37.32531339044	  5520.10791000	 3593.05640000	 8370.28711000	  3684.01050000	 2718.69849000	 4862.60010000	10033
HD 38944                                	3456178157529555328	087.73432630620	+37.31858852802	  2720.11597000	 1820.59314000	 4818.58594000	  1814.01135000	 1576.26562000	 6176.03613000	10033
HD 38944                                	3456178157529557120	087.73084084651	+37.31675218930	  4232.46338000	 2810.78320000	 7037.74365000	  2732.06934000	 2377.63672000	 3285.15161000	10033
HD 38944                                	3456178157530102912	087.73216628550	+37.32525516399	  1203.55652000	  659.71246300	 1883.89282000	  1708.87659000	 1481.94678000	 1914.63367000	10033
HD 38944                                	3456178157530106496	087.72879704595	+37.32081596908	  3730.07031000	 2099.22363000	 5768.44336000	  5982.53369000	 5153.33398000	 7715.16748000	10033
HD 38944                                	3456178157533709568	087.74015003058	+37.31393254157	  3568.94849000	 2363.20264000	 5895.58398000	  3350.69092000	 2723.38037000	 4508.54590000	10033
HD 38944                                	3456178359394784128	087.72675383352	+37.32515552984	  3667.80811000	 2537.09961000	 5117.90137000	  3731.64453000	 3049.91992000	 5140.00244000	10033
HD 38944                                	3456200521427732480	087.78650340572	+37.28271837364	  2519.23608000	 1803.30920000	 3376.01636000	  1356.44263000	 1207.65479000	 1596.79663000	10033
HD 38944                                	3456200521427732864	087.79265419529	+37.28928698882	   457.00827000	  401.97662400	  516.49890100	   440.60290500	  388.23815900	  488.52441400	10033
HD 38944                                	3456200521427732992	087.79514466425	+37.28970342797	  1537.35168000	 1037.80969000	 2295.12720000	  2324.26685000	 2033.08167000	 2683.06592000	10033
HD 38944                                	3456200525719767552	087.79347336295	+37.29519325583	  2576.05688000	 1587.77026000	 4237.54980000	  4066.74146000	 3331.86060000	 5554.87695000	10033
HD 38944                                	3456200525722441216	087.79191212705	+37.29143802433	   543.58026100	  531.41845700	  552.03674300	   541.36486800	  529.06127900	  555.33624300	10033
HD 38944                                	3456200731878197504	087.79069460810	+37.29807090875	  5102.62793000	 2534.39160000	 9168.94238000	  3119.20264000	 2572.23560000	 4580.10107000	10033
HD 38944                                	3456200731878201856	087.78579927719	+37.29309918686	  2481.58594000	 1102.53552000	 4995.04492000	  2726.65869000	 2315.20801000	 3238.95215000	10033
HD 38944                                	3456200731880872320	087.78741366973	+37.29397833951	  1402.37756000	 1220.00500000	 1690.07996000	  1355.83032000	 1218.57874000	 1499.05920000	10033
HD 38944                                	3456200761945909120	087.79036141010	+37.31208437886	  5293.06543000	 3808.93481000	 7193.98291000	  8317.44922000	 4871.47559000	11247.25680000	10033
HD 38944                                	3456200766237925248	087.78717431711	+37.31609381543	  2176.11084000	 1260.15198000	 3797.50000000	  1250.78882000	 1099.76196000	 1393.98975000	10033
HD 38944                                	3456200766237925376	087.79410581847	+37.31039402185	  1825.50354000	  966.64483600	 3766.87378000	  1464.64343000	 1275.02246000	 1655.21094000	10033
HD 38944                                	3456200766238900224	087.79833295511	+37.30791926873	  4702.08398000	 2471.62207000	 8577.74707000	  5013.54346000	 4386.31104000	 5974.61816000	20033
HD 38944                                	3456200766238900736	087.79809468397	+37.30729300618	  3062.93506000	 1638.64343000	 5094.29297000	  7635.33398000	 6423.01074000	 9075.42969000	10033
HD 38944                                	3456200766238902272	087.79567714184	+37.30377870583	  3564.19800000	 1867.07642000	 7463.51416000	  2302.98511000	 2021.27075000	 2639.98364000	20033
HD 38944                                	3456200766238903040	087.78585230996	+37.30752959911	  3089.10547000	 1621.07581000	 4694.09521000	  3824.26709000	 3204.84863000	 4831.34766000	10033
HD 38944                                	3456200800597672704	087.76904764196	+37.31875570339	  3247.26416000	 1836.03235000	 6875.11816000	  1495.90503000	 1339.42737000	 1705.11511000	10033
HD 38944                                	3456200834957397504	087.78379962643	+37.32688228374	  3837.91504000	 2247.13452000	 6037.55420000	  3053.70898000	 2594.61890000	 3731.84058000	10033
HD 38944                                	3456200834957408256	087.77745375754	+37.31558681058	  3691.75806000	 1738.21765000	 6252.45996000	  2942.53711000	 2643.06982000	 3536.50317000	10033
HD 38944                                	3456200834959124736	087.77361813949	+37.32325988696	  3682.60229000	 2035.43213000	 6495.83594000	  4871.32520000	 4091.99634000	 5932.88867000	20033
HD 38944                                	3456200834959126016	087.77846676631	+37.32750656623	  2622.88184000	 1530.89709000	 5065.17969000	  5452.09033000	 4613.70898000	 6683.32812000	20033
HD 38944                                	3456200869319811200	087.79513986100	+37.31905603297	  1831.66150000	 1540.66553000	 2251.61694000	  1710.80127000	 1510.84448000	 2047.71851000	10033
HD 38944                                	3456201556511372928	087.76250919298	+37.32832872741	  5882.10889000	 3468.99146000	 8896.05664000	  3578.69336000	 2795.99487000	 4783.92969000	10033
HD 38944                                	3456201556511374720	087.75596890004	+37.32674788693	  3800.52563000	 3348.91943000	 4311.83887000	  3751.70044000	 3434.74854000	 4087.22852000	10033
HD 38944                                	3456201556511378048	087.75092586358	+37.31955182054	  4053.88477000	 2193.45312000	 6472.18359000	  1644.01892000	 1413.12317000	 1855.29382000	10033
HD 38944                                	3456201556511919616	087.76387499252	+37.31693043235	  1548.32886000	 1410.73853000	 1739.68408000	  1535.88184000	 1405.43689000	 1736.25305000	10033
HD 38944                                	3456201556512883328	087.76612810662	+37.32432453339	  2643.60254000	 1367.56201000	 4557.67285000	  4368.24805000	 3794.92554000	 5221.27197000	20033
HD 38944                                	3456201556512887680	087.75486647676	+37.31791507455	  3467.30835000	 2087.98877000	 5967.19482000	  1883.72034000	 1656.34595000	 2054.09937000	10033
HD 38944                                	3456201556514593536	087.75646596970	+37.31756026144	  4206.19434000	 2536.01123000	 6479.29346000	  3068.99756000	 2645.49048000	 3700.79639000	10033
HD 38944                                	3456201586577925632	087.76847340029	+37.33482281109	  5597.34375000	 4345.59180000	 7241.26855000	  5884.29443000	 4822.48291000	 6685.67334000	10033
HD 38944                                	3456201590871106944	087.76192683890	+37.33504243671	  4494.83008000	 2906.38867000	 6544.10645000	  5173.65039000	 4195.42725000	 6821.18750000	10033
HD 38944                                	3456201590872617728	087.77282510404	+37.33470947777	  5505.89404000	 3021.88135000	 8109.29492000	  3574.97949000	 3171.74780000	 4139.03809000	10033
HD 38944                                	3456201590873962368	087.76202407437	+37.33061507693	  1083.51611000	 1039.96729000	 1138.93250000	  1064.29333000	 1021.38562000	 1100.92993000	10033
HD 38944                                	3456201625230852352	087.75100691279	+37.32645472510	  5711.73877000	 2808.67676000	 8721.71582000	  4014.03687000	 3238.96753000	 5166.49707000	10033
HD 38944                                	3456201625230852736	087.74299638878	+37.33094799959	  2924.60645000	 1766.47815000	 4670.23877000	  4218.75684000	 3372.84253000	 5710.17578000	10033
HD 38944                                	3456201625232362368	087.74157604790	+37.33066807742	  3274.48657000	 1986.05469000	 5480.62158000	  5778.91211000	 4960.27881000	 6840.70361000	20033
HD 38944                                	3456201625232363264	087.74708921242	+37.32563740240	  2744.13843000	 1171.69763000	 4169.03711000	  4765.70752000	 4054.40454000	 5442.64258000	10033
HD 38944                                	3456201625232363904	087.74472319572	+37.32581743530	  2868.53345000	 1536.00500000	 4883.46484000	  3026.14673000	 2708.03809000	 3438.81763000	20033
HD 38944                                	3456201625232364288	087.74807424452	+37.32289994595	  5955.70508000	 3322.44312000	 6902.84766000	  1945.53479000	 1722.09692000	 2248.69629000	10033
HD 38944                                	3456201625233702656	087.75113388057	+37.33317580985	  3702.99512000	 2415.62720000	 5458.58643000	  2591.82690000	 2022.98682000	 3391.32056000	10033
HD 38944                                	3456201655299105920	087.75644462307	+37.33741170125	  4251.07080000	 2719.71753000	 6859.75830000	  2553.90210000	 2095.13745000	 3522.14551000	10033
HD 38944                                	3456201659590584960	087.75854186373	+37.33448359000	  4650.66357000	 2758.48682000	 8320.30664000	  4540.67627000	 3769.41284000	 5620.51807000	10033
HD 38944                                	3456201659593438720	087.75499745351	+37.33748951473	  2157.93677000	 1981.02881000	 2432.09741000	  1989.01855000	 1826.96179000	 2167.71460000	10033

HD 48329                                	3384528134415563776	100.99739606219	+25.10399661168	   602.95898400	  523.88342300	  721.73962400	   647.36071800	  570.17266800	  724.83190900	10033
HD 48329                                	3384528138711402368	100.99943455632	+25.10242543101	  4028.75854000	 3285.67212000	 5360.14160000	  3994.85278000	 3358.04297000	 4796.11914000	10033
HD 48329                                	3384528173068588800	100.97666139687	+25.09897269820	  1541.26636000	 1150.45740000	 1938.01367000	  1593.18860000	 1413.28870000	 1769.90918000	10033
HD 48329                                	3384528173068589952	100.97219070159	+25.10187082266	  2827.04053000	 2035.79614000	 3999.52539000	  5878.07031000	 5160.75732000	 7057.81055000	10033
HD 48329                                	3384528173068591744	100.97139455006	+25.09968753896	  1247.70679000	  738.53210400	 2675.24683000	  2128.83594000	 1919.76855000	 2505.15527000	10033
HD 48329                                	3384528173071147264	100.97110885512	+25.10017596834	  1574.08618000	 1432.10217000	 1765.20032000	  1628.58972000	 1477.59326000	 1790.48938000	10033
HD 48329                                	3384528207428312192	100.98901459385	+25.11129174911	  2889.22461000	 1869.19495000	 4163.19385000	  1649.36621000	 1484.66846000	 1826.12292000	10033
HD 48329                                	3384528207428314880	100.98915470102	+25.10841210376	  2590.07983000	 1574.48828000	 3630.75171000	  3074.81934000	 2645.72095000	 3588.56250000	10033
HD 48329                                	3384528207428317312	100.99177102170	+25.10223514256	  3815.90356000	 2620.52515000	 5377.33545000	  5501.22168000	 4545.69385000	 6549.01318000	10033
HD 48329                                	3384528207428317952	100.98414548058	+25.10817059259	  2664.18774000	 1630.93494000	 4051.34424000	  2021.88464000	 1809.36377000	 2263.02441000	10033
HD 48329                                	3384528207428321536	100.97692090673	+25.10850161964	  3680.45581000	 2377.72314000	 5704.73779000	  4781.59717000	 4127.75098000	 5422.03906000	10033
HD 48329                                	3384528207429410816	100.97884916124	+25.11055316207	  1443.70581000	  683.64709500	 2395.48901000	  6400.88721000	 5598.99170000	 7238.27783000	20033
HD 48329                                	3384528207430879488	100.99419135236	+25.10661801950	  3682.08911000	 2783.91870000	 4868.92188000	  3192.94263000	 2684.55835000	 4163.17578000	10033
HD 48329                                	3384528207430881920	100.98211170265	+25.10727383280	  5947.46680000	 4119.11523000	 7689.89014000	  3793.45972000	 3213.52441000	 4709.08740000	10033
HD 48329                                	3384528207430882944	100.98190192720	+25.10477998922	  2085.79565000	 1928.48462000	 2266.07764000	  2090.81055000	 1947.34888000	 2259.03027000	10033
HD 48329                                	3384528516665953792	100.99848205944	+25.10648571948	  3196.33618000	 1925.19739000	 4487.02539000	  6331.27881000	 5498.43457000	 7370.59766000	10033
HD 48329                                	3384528551025667584	101.01767369089	+25.12131507908	  2454.26782000	 1582.64001000	 3561.12329000	  2078.80103000	 1846.12854000	 2359.10986000	10033
HD 48329                                	3384528585385430016	100.98731603430	+25.11858184052	  1816.28467000	 1604.54907000	 2112.67529000	  1652.19849000	 1487.30713000	 1811.16943000	10033
HD 48329                                	3384528585386513152	100.99727055365	+25.12616230216	  2791.45996000	 1259.39124000	 4674.65576000	  3426.17700000	 2988.11841000	 4085.76416000	20033
HD 48329                                	3384528619745137920	101.01663006699	+25.12869125837	   461.36477700	  451.95477300	  471.91299400	   458.12371800	  450.30609100	  466.74826000	10033
HD 48329                                	3384528619745150720	101.00815504964	+25.12099644491	  1958.91174000	 1334.13611000	 2892.87500000	  1575.99121000	 1402.68311000	 1836.26880000	10033
HD 48329                                	3384528619745150848	101.00613437261	+25.12284659379	  1866.56689000	 1596.22058000	 2338.64331000	  1608.31433000	 1446.45020000	 1736.29834000	10033
HD 48329                                	3384528619745151488	101.00301639413	+25.12515714286	   616.19171100	  467.50680500	 1207.05322000	   847.12713600	  708.25561500	 1029.54553000	10033
HD 48329                                	3384528619745152768	101.00002744887	+25.12606147321	  2170.68726000	 1125.44580000	 3715.05176000	  5478.84961000	 4922.23047000	 6224.65576000	10033
HD 48329                                	3384528619747727872	101.00923285367	+25.13346257546	  3246.56445000	 2743.04419000	 3833.39526000	  3192.10352000	 2757.67236000	 3723.34961000	10033
HD 48329                                	3384528619747731712	101.00130959266	+25.13130090332	   682.78723100	  646.22088600	  731.05786100	   683.40325900	  657.47387700	  714.79657000	10033
HD 48329                                	3384528722824343808	101.01691969712	+25.13205221084	   803.26556400	  779.35614000	  818.70642100	   799.92346200	  781.60992400	  822.12567100	10033
HD 48329                                	3384528722824344320	101.00894094292	+25.13873778208	  4129.34766000	 2936.83838000	 5672.12354000	  5039.78906000	 4048.94214000	 6340.48975000	10033
HD 48329                                	3384528722827622912	101.01442326726	+25.13326123645	  2837.36890000	 1732.89856000	 4305.69678000	  1225.97485000	 1040.59167000	 1432.69800000	20033
HD 48329                                	3384528928983920896	100.97141012271	+25.10926254042	  1804.21094000	  669.21972700	 2619.09790000	  1579.46240000	  573.45544400	 3294.84058000	21033
HD 48329                                	3384528928983923200	100.96793223327	+25.10858126092	   162.02113300	  145.43745400	  180.84532200	   168.71681200	  148.34591700	  197.18904100	10033
HD 48329                                	3384528963343651712	100.97827672075	+25.11540485498	  1886.38086000	 1079.71826000	 3064.16772000	  2376.42554000	 2069.86328000	 2680.84937000	20033
HD 48329                                	3384528963344606080	100.97858187152	+25.12007807006	  1904.80005000	 1486.38074000	 2797.34644000	  1506.74182000	 1341.38049000	 1641.77026000	10033
HD 48329                                	3384528963345363968	100.97887232233	+25.11806528855	  3564.50488000	 2695.34839000	 5261.22949000	  2396.94800000	 2087.23242000	 2858.43506000	10033
HD 48329                                	3384528963345792384	100.97366735278	+25.12335682297	  3695.96826000	 2441.42090000	 5887.19238000	  1249.77222000	 1140.44312000	 1939.26660000	10133
HD 48329                                	3384528997702313216	100.94775705343	+25.12178345761	  2618.80859000	 1882.82532000	 3692.25635000	  1716.08044000	 1529.22742000	 1891.93921000	10033
HD 48329                                	3384528997704866944	100.95662920265	+25.11978670108	  2351.36426000	 1883.50439000	 3204.26880000	  1477.90833000	 1367.44519000	 1669.90039000	10033
HD 48329                                	3384529032063128320	100.96171389464	+25.13154294041	  3456.18994000	 1490.12439000	 4191.32227000	  5198.69043000	 4601.02295000	 6073.39941000	20033
HD 48329                                	3384529032064603392	100.96538856207	+25.12158126803	  2771.09839000	 2476.25024000	 3128.43359000	  2828.67603000	 2557.70020000	 3120.48853000	10033
HD 48329                                	3384529203860737664	100.94681030368	+25.13005375516	  3280.43311000	 2269.43896000	 4662.20557000	  4058.96631000	 3612.25317000	 4694.88574000	10033
HD 48329                                	3384529203861829632	100.95062063411	+25.12565585038	  2506.75293000	 1462.34839000	 4171.75488000	  2290.85596000	 2042.59888000	 2640.90356000	10033
HD 48329                                	3384529238220467968	100.95378899468	+25.13905704083	  2258.71289000	 1396.19592000	 3433.61572000	  7406.19922000	 6667.48193000	 8438.70117000	10033
HD 48329                                	3384529238221565312	100.95407577373	+25.12901680989	  3379.84229000	 1833.51538000	 5720.62012000	  2582.79712000	 2279.77441000	 2909.27368000	10033
HD 48329                                	3384529341300765440	100.98704548276	+25.12306469184	  2663.48486000	 2351.35278000	 3049.19922000	  2450.81714000	 2214.38330000	 2766.50708000	10033
HD 48329                                	3384529341302871296	100.98300597068	+25.13107483639	   265.37274200	  254.13729900	  278.76330600	   264.08911100	  252.17941300	  280.22320600	10033
HD 48329                                	3384529375659387904	100.99828179289	+25.14044665097	  2573.72168000	 2170.33472000	 3084.71826000	  3380.46777000	 2651.37085000	 3898.50854000	10033
HD 48329                                	3384529375659393408	100.99607473971	+25.13571712368	  1026.67407000	  760.88458300	 1334.00610000	  2104.40625000	 1847.66272000	 2389.35278000	10033
HD 48329                                	3384529375659396480	100.99309977444	+25.13298244863	  3906.11816000	 3188.33936000	 5467.61133000	  3066.62036000	 2571.77808000	 3661.54004000	10033
HD 48329                                	3384529375660483968	101.00591392350	+25.13739835413	  2764.69629000	 2220.22290000	 3270.80542000	  2589.95117000	 2272.19482000	 3143.59888000	10033
HD 48329                                	3384529375661973376	100.99927425876	+25.13963774033	   894.50335700	  802.28033400	 1006.21942000	   923.48400900	  847.03167700	 1021.14569000	10033
HD 48329                                	3384529375662243456	100.99852196204	+25.14252885998	  3516.95093000	 2249.43311000	 5131.68311000	  2960.71729000	 2478.06006000	 3726.26270000	10033
HD 48329                                	3384529410019136640	100.98033065335	+25.14135668732	  1679.07715000	 1532.46875000	 1956.62268000	  1618.23132000	 1477.74194000	 1832.07312000	10033
HD 48329                                	3384529444378862720	100.98836729966	+25.15132908265	   805.19354200	  776.37805200	  843.25543200	   795.28308100	  768.99432400	  826.84118700	10033
HD 48329                                	3384529444378868864	100.98625310535	+25.14637963529	  2407.74438000	 1618.43530000	 3461.51123000	  3856.68872000	 3369.38330000	 4383.12646000	10033
HD 48329                                	3384529444378870656	100.98504856317	+25.14544223373	  3344.96899000	 2284.38354000	 5082.00098000	  2238.72412000	 2040.27905000	 2480.49341000	10033
HD 48329                                	3384529444379964160	100.98263486957	+25.15401740012	  1545.62622000	  887.51879900	 2655.04663000	  2946.34937000	 2400.72510000	 3370.86328000	10033
HD 48329                                	3384529444379967360	100.97998264388	+25.15138961664	  2115.63159000	 1202.81396000	 3359.07642000	  2793.46240000	 2501.35840000	 3251.64551000	20033
HD 48329                                	3384529444381451776	100.98669617082	+25.14763424454	  1632.66638000	 1509.45703000	 1778.11035000	  1542.63538000	 1427.00195000	 1690.92297000	10033
HD 48329                                	3384529474445361152	101.00975462141	+25.15349699430	  2197.79785000	 1172.05029000	 3478.59229000	  2141.86401000	 1857.83655000	 2620.20728000	10033
HD 48329                                	3384529478738578432	101.00614155948	+25.15673357748	  3470.21875000	 1890.29761000	 5574.59717000	  3701.50366000	 3296.24487000	 4137.82178000	10133
HD 48329                                	3384529478739690240	101.01369934825	+25.14622073888	  3946.22412000	 3061.62598000	 5389.90479000	  3671.28613000	 3103.85547000	 4524.32959000	10033
HD 48329                                	3384529478739693056	101.01042864395	+25.14356320251	  1435.63892000	  887.75036600	 2517.30200000	   941.40716600	  811.03106700	 1155.42883000	10033
HD 48329                                	3384529616177573120	100.96435340687	+25.14820343653	  3647.09375000	 2341.72266000	 5237.83936000	  3804.58643000	 3280.54956000	 4412.18799000	10033
HD 48329                                	3384529616178674944	100.96022791562	+25.14354878401	   837.31744400	  616.87493900	 1313.74731000	  4804.28906000	 4295.47412000	 5445.62158000	10033
HD 48329                                	3384529616180147968	100.96432769449	+25.14965579264	   547.60791000	  542.42181400	  552.55365000	   549.37976100	  544.48706100	  554.33825700	10033
HD 48329                                	3384529650537290496	100.98011408291	+25.16156615334	  2273.51978000	 1715.63074000	 3991.93018000	  2014.59583000	 1802.34473000	 2257.19751000	10033
HD 48329                                	3384529650537290624	100.98436644249	+25.15722540138	  2580.10913000	 1854.32690000	 3638.25488000	  2872.97534000	 2470.33887000	 3251.69116000	10033
